ts,src_ip,dst_ip,pred,score,pkt_count,byte_count,duration,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,mean_iat,std_iat,tcp_flag_syn,tcp_flag_ack,tcp_flag_psh,tcp_flag_rst,tcp_flag_fin,src_port,dst_port,proto_tcp,proto_udp,proto_icmp,dir_outbound
1755172462.5497441,2.16.158.91,10.7.72.134,1,0.51,230.0,311863.0,3.4828219413757324,1355.9260869565217,398.0939464360591,56.0,1514.0,0.015208829438321976,0.03980953549727554,1.0,230.0,120.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172462.6659284,2.16.158.91,10.7.72.134,1,0.51,240.0,327003.0,3.5700583457946777,1362.5125,390.9901105020645,56.0,1514.0,0.014937482618387773,0.039355218924163986,1.0,240.0,125.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172462.7808084,2.16.158.91,10.7.72.134,1,0.51,250.0,342143.0,3.6921889781951904,1368.572,384.2389319368874,56.0,1514.0,0.014828068185522854,0.039136479190951166,1.0,250.0,130.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172462.8697073,2.16.158.91,10.7.72.134,1,0.51,260.0,357283.0,3.794248104095459,1374.1653846153847,377.8137915818684,56.0,1514.0,0.014649606579519147,0.038793444200998305,1.0,260.0,135.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172462.96269,2.16.158.91,10.7.72.134,1,0.51,270.0,372423.0,3.8835465908050537,1379.3444444444444,371.6905471484393,56.0,1514.0,0.014436976173996483,0.03840408218367764,1.0,270.0,140.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172463.060676,2.16.158.91,10.7.72.134,1,0.51,280.0,387563.0,3.967606544494629,1384.1535714285715,365.84729638601846,56.0,1514.0,0.014220811987435945,0.03802711435206591,1.0,280.0,145.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172463.184745,2.16.158.91,10.7.72.134,1,0.51,290.0,402703.0,4.103514194488525,1388.6310344827587,360.2641536652949,56.0,1514.0,0.014199011053593514,0.037980006870271574,1.0,290.0,150.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172463.3660717,2.16.158.91,10.7.72.134,1,0.51,300.0,417843.0,4.266034364700317,1392.81,354.923044100173,56.0,1514.0,0.014267673460536178,0.038002693705987266,1.0,300.0,154.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172463.5340886,2.16.158.91,10.7.72.134,1,0.51,310.0,432983.0,4.435192584991455,1396.7193548387097,349.8075165825461,56.0,1514.0,0.014353374061461019,0.038226354027658754,1.0,310.0,157.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172463.6790783,2.16.158.91,10.7.72.134,1,0.51,320.0,448123.0,4.586109399795532,1400.384375,344.90257556425894,56.0,1514.0,0.014376518494656841,0.038351387615865075,1.0,320.0,160.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172463.81409,2.16.158.91,10.7.72.134,1,0.51,330.0,463263.0,4.729374170303345,1403.8272727272727,340.1945305999757,56.0,1514.0,0.014374997478125668,0.03839485237022613,1.0,330.0,162.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
